ASE section,ASE module,ASE tier (Free / Free+Pro / Pro),ASE Pro extras (if any),CM status,CM feature name(s),Notes/limits,Verdict
Content Management,Allow Custom Navigation Menu Items to Open in New Tab,Free,,No,,No confirmed CM feature for adding a target control to custom navigation items.,ASE still needed
Content Management,Auto-Publish Posts with Missed Schedule,Free,,No,,No confirmed CM equivalent.,ASE still needed
Admin Interface,Clean Up Admin Bar,Free+Pro,ASE Pro enables removal of admin bar items from other plugins.,Yes,Top Toolbar Manager,"CM documents rearranging, hiding, controlling visibility, and custom toolbar placement for admin-bar items. Third-party item behavior is covered by the discovered-toolbar model.",CM enough
Admin Interface,Admin Bar Custom Elements,Pro,,Yes,Admin Menu Manager; Top Toolbar Manager,"CM documents custom top-level and child toolbar items, custom sidebar menu/submenu items, custom icons, separators, spacers, capabilities, role visibility, and custom toolbar placement.",CM enough
Admin Interface,Hide Admin Notices,Free+Pro,ASE Pro adds: • the option to also hide admin notices for non-admins. • the option to hide the 'Notices' menu in the admin bar for non-admins.,Yes,Admin Notices Manager,"CM documents selective notice management, hide-all mode, and dismiss controls. ASE’s separate notices panel workflow is different, but the core hide/manage capability is covered.",CM enough
Admin Interface,Disable Dashboard Widgets,Free,,Yes,Remove Dashboard Widgets,Exact CM feature name.,CM enough
Admin Interface,Hide Admin Bar,Free+Pro,ASE Pro also allows hiding the admin bar on the backend for all or some user roles and ensure administrators always see the admin bar on the backend and frontend.,No,,"CM can move the admin bar and manage toolbar items, but no confirmed hide-admin-bar module.",ASE still needed
Admin Interface,Admin Logo,Pro,,Partial,Replace WordPress Admin Bar Logo; Custom Login Logo,CM covers the admin-bar logo and login logo. ASE also places branding in the admin menu and can replace the home icon; parity is not confirmed.,Either fine
Admin Interface,Wider Admin Menu,Free,,Yes,Wider Admin Sidebar,Exact CM feature name and same core job.,CM enough
Admin Interface,Admin Menu Organizer,Free+Pro,"ASE Pro enables: • always hiding parent and submenu items for some or all user roles and blocking access to the associated admin pages • exclude hiding menu items for certain, eligible users • reordering submenu items • adding new menu items, submenu items and separators",Yes,Admin Menu Manager,"CM library lists hide, rename, reorder, spacers, icons, and role/user visibility controls.",CM enough
Admin Interface,Admin Columns Manager,Pro,,Yes,Admin Columns Manager,"CM documents customizable post/page/CPT columns, custom field columns, taxonomy columns, global search, frozen columns, and inline featured-image editing. Third-party field-provider names differ from ASE’s list.",CM enough
Admin Interface,Show Custom Taxonomy Filters,Free+Pro,ASE Pro enables: • show additional filter(s) for non-hierarchical taxonomies.,Yes,Custom Taxonomy Filters,"CM documents configurable taxonomy dropdown filters for registered taxonomies, including custom taxonomies. Its scope is broad enough for the ASE core module.",CM enough
Admin Interface,Enhance List Tables,Free,,Partial,Admin Columns Manager; Enable Custom Order Columns; Show Last Login Column; Show Registration Date Column,"CM has targeted column features, but no confirmed broad bundle matching ASE’s post, taxonomy, media, comment, and user list-table enhancements.",ASE still needed
Admin Interface,Various Admin UI Enhancements,Free+Pro,ASE Pro adds: • Preserve Taxonomy Hierarchy : Preserve the visual hierarchy of taxonomy terms checklist in the classic editor. • Enable Dashboard Columns Settings : Enable manual settings of dashboard columns layout in Screen Options. You can choose between 1 to 4 columns. • Add User Role Slug(s) to Admin Body Classes : seful for when you need to modify the admin area only for certain user role(s). • Add Usermame to Admin Body Classes : Useful for when you need to modify the admin area only for certain user(s).,Partial,Enable Media Library Infinite Scrolling; Show All Active Plugins on Top,CM matches the two clearly named free subfeatures. ASE Pro taxonomy/body-class/dashboard-column extras are not confirmed.,ASE still needed
Admin Interface,Custom Admin Footer Text,Free+Pro,ASE Pro adds: • option to upload / insert media • easy linking of word / phrase • ability to switch between Visual and Text mode which helps with adding custom HTML Log In/Out | Register Add useful features around the log in and log out process.,Yes,Customize Admin Footer,Exact CM feature name. Rich-editor and media-insertion parity is not separately confirmed.,CM enough
Log In/Out | Register,Change Login URL,Free+Pro,"ASE Pro adds: • custom redirection when accessing default login URLs, e.g. /wp-login.php",Yes,Enable Custom Login URL,"CM documents a custom login slug, default wp-login.php redirection, URL whitelist support, and secure access through the custom URL.",CM enough
Log In/Out | Register,Login ID Type,Free,,No,,No confirmed CM feature restricting login to username or email.,ASE still needed
Log In/Out | Register,Login Page Customizer,Pro,,Yes,Login Page Customization; Custom Login Logo; Login Form Styling; Navigation Links Styling; Notices & Messages Styling; Disable Language Dropdown on Login Page,CM distributes the login customizer surface across named White Label features.,CM enough
Log In/Out | Register,Site Identity on Login Page,Free,,Partial,Custom Login Logo,"CM replaces the login logo, but the ASE behavior for site icon and destination URL is not confirmed.",ASE still needed
Log In/Out | Register,Log In/Out Menu,Free+Pro,"ASE Pro adds an option to set custom ""Log In"" and ""Log Out"" labels for the dynamic log in/out menu item.",No,,No confirmed CM dynamic login/logout menu module.,ASE still needed
Log In/Out | Register,Last Login Column,Free+Pro,ASE Pro makes the column sortable.,Yes,Show Last Login Column,CM documents the last-login date/time column. ASE Pro sortable behavior is an additional presentation option not separately stated.,CM enough
Log In/Out | Register,Registration Date Column,Free+Pro,ASE Pro makes the column sortable.,Yes,Show Registration Date Column,Exact CM feature name. Sortable-column parity is not confirmed.,CM enough
Log In/Out | Register,Redirect After Login,Free+Pro,ASE Pro adds: • an option to set separate redirect URL for each role,No,,No confirmed CM equivalent for role-specific post-login redirects.,ASE still needed
Log In/Out | Register,Redirect After Logout,Free+Pro,ASE Pro adds: • an option to set separate redirect URL for each role,Yes,Redirect after logout,Exact CM feature name in the WooCommerce Redirection section. Its general login/logout scope should be checked on the target site.,Either fine
Log In/Out | Register,Disable User Account,Free,,No,,No confirmed CM feature for disabling individual user login while preserving the account.,ASE still needed
Custom Code,Code Snippets Manager,Pro,,Partial,Code Manager,"CM has a Code Manager with PHP/CSS/JS workflows and recent CodeMirror improvements. ASE’s HTML/SCSS support, revisions, execution controls, and automatic PHP safe mode are not all confirmed as equivalent.",ASE still needed
Custom Code,Custom Admin CSS,Free,,Partial,Code Manager,"CM can manage CSS through Code Manager, but a dedicated all-admin CSS module and its exact role scope are not confirmed.",Either fine
Custom Code,Custom Frontend CSS,Free,,Partial,Code Manager,"CM can manage CSS through Code Manager, but a dedicated all-frontend CSS module and its exact scope are not confirmed.",Either fine
Custom Code,"Insert <head>, <body> and <footer> Code",Free,,Unknown,Code Manager,CM only documents PHP/CSS/JavaScript snippets. Head/body/footer insertion points and HTML/meta/script/style injection are not documented.,ASE still needed
Custom Code,Custom Body Class,Free,,Unknown,Code Manager,CM does not state a body-class control. Generic PHP/CSS/JavaScript snippets are not enough to verify this module.,ASE still needed
Custom Code,Manage ads.txt and app-ads.txt,Free,,No,,No confirmed CM equivalent.,ASE still needed
Custom Code,Manage robots.txt,Free,,No,,No confirmed CM equivalent.,ASE still needed
Disable Components,Disable Gutenberg,Free+Pro,"ASE Pro adds: • option to disable only on / except on certain post types, or on all post types",Yes,Disable Gutenberg Editor,Exact CM feature name. CM also lists related block-style and widget controls.,CM enough
Disable Components,Disable Comments,Free+Pro,"ASE Pro adds: • option to disable only on / except on certain post types, or on all post types",Partial,Disable Comments,"Exact CM feature exists, but the CM library describes global disabling while ASE supports selected/excepted post-type scopes, especially in Pro.",Either fine
Disable Components,Disable REST API,Free+Pro,"ASE Pro adds: • option to exclude certain API routes from being disabled • option to enable access only for some, authenticated user roles, e.g. administrators.",Yes,REST API Access; REST API Exclusions; Remove REST API Links,"CM documents admin-only, logged-in-only, and fully disabled access levels, namespace exclusions, and REST URL/link removal.",CM enough
Disable Components,Disable Feeds,Free,,Partial,Disable RSS Feeds; Remove RSS Feed Links,CM covers RSS disabling and feed-link removal. Atom/RDF parity and all ASE feed-trace behavior are not explicitly established.,Either fine
Disable Components,Disable Embeds,Free,,Partial,Disable Embeds,"CM lists Disable Embeds. ASE also documents related JavaScript and external-embedding controls, so exact scope parity is not established.",Either fine
Disable Components,Disable All Updates,Free,,Yes,Disable All Updates,"CM’s implementation disables core, plugin, theme, translation, and automatic updates; update checks, update cron hooks, update emails, notices, transients, and WordPress.org update requests.",CM enough
Disable Components,Disable Author Archives,Free,,No,,"CM has author-edit and user-enumeration controls, but no confirmed author-archive 404/removal feature.",ASE still needed
Disable Components,Disable Smaller Components,Free,,Partial,Hide WP Version; Remove RSD Link; Remove Shortlink; Disable Emojis; Disable Dashicons; Remove jQuery Migrate; Enable Classic Widgets; Disable file changes via plugin and theme editors; Disable Admin Email Check During Login; Disable Password Change Email,"CM covers several bundled ASE subcomponents, but not every component or ancillary behavior in the broad ASE module.",ASE still needed
Security,Limit Login Attempts,Free+Pro,"ASE Pro adds: • IP whitelisting, which is also useful to unblock users",Yes,Enable Login Lockdown; Enable Extended Lockout,"CM documents maximum failed attempts, lockout duration, extended lockouts, username-validity hiding, form hiding, IP whitelisting, and activity logging. Trusted-proxy header selection is not separately stated.",CM enough
Security,CAPTCHA Protection,Pro,,Partial,Enable Cloudflare Turnstile; Enable Math Captcha; Turnstile: WordPress Login Forms; Turnstile: WooCommerce Forms; Turnstile: Comment Forms; Turnstile: Frontend Post Submission; Math Captcha: WordPress Login Forms; Math Captcha: WooCommerce Forms; Math Captcha: Comment Forms; Math Captcha: Frontend Post Submission,"CM covers Turnstile and math CAPTCHA. ASE also lists ALTCHA and Google reCAPTCHA, so CM is not a provider-for-provider replacement.",ASE still needed
Security,Two-Factor Authentication (2FA),Pro,,Partial,Enable TOTP Authentication; Enable Email OTP; Allow Trusted Devices; Enable 2FA Rate Limiting,"CM covers TOTP, email OTP, trusted devices, and rate limiting. ASE’s recovery-code and per-role configuration details are not all confirmed as identical.",Either fine
Security,Obfuscate Author Slugs,Free,,Different approach,Disable User Enumeration,"CM prevents username discovery, but does not document randomizing author slugs or returning 404s for original author URLs.",ASE still needed
Security,Email Address Obfuscator,Free+Pro,ASE Pro enables: • shortcode option to output the email address as a mailto: link • an option to auto-obfuscate email addresses found in post content.,Yes,Email & Phone Protection,"CM documents content-filter and full-page protection, multiple obfuscation methods, email obfuscation shortcodes, no-JavaScript fallbacks, and phone protection. The option surface differs from ASE but the core module is covered.",CM enough
Security,Disable XML-RPC,Free,,Yes,Disable XML-RPC,"CM documents completely disabling XML-RPC, including protection against pingback abuse. The implementation also has a separate self-pingback control.",CM enough
Optimizations,Image Upload Control,Free+Pro,ASE Pro enables: • custom JPG conversion quality • conversion to WebP instead of JPG • custom WebP conversion quality • option to only apply resize and conversion to media library and block editor uploads when creating or editing a page or a post.. • option to only resize without conversion to JPG/WebP • prevention of intermediate size(s) generation,Partial,Auto Resize Images After Upload; Skip Smaller Images; Image Converter; Disable Unnecessary Image Sizes,"CM covers resize, skip-smaller, conversion, and image-size controls. ASE’s exact JPEG/WebP quality, original-file deletion, and upload-context options are not confirmed as identical.",Either fine
Optimizations,Revisions Control,Free,"ASE Pro adds the option to enable revisions control ""only for"" or ""except for"" certain post t ypes or ""for all post types"".",Yes,Limit Post Revisions,CM documents setting a maximum revision count or disabling revisions. ASE’s extra post-type include/exclude controls are not separately stated.,CM enough
Optimizations,Heartbeat Control,Free,,Yes,Disable Heartbeat; Heartbeat Frequency,CM library lists heartbeat disable and frequency controls.,CM enough
Utilities,Site Backup and Migration,Pro,,Different approach,Export Settings; Import Settings,"CM backs up/imports its plugin settings. It is not a confirmed full-site scheduled backup, restore, migration, or sync system.",ASE still needed
Utilities,Email Delivery,Free+Pro,ASE Pro adds the option to: • specify a custom reply-to name and email • specify custom Bcc email(s) • disable authentication • log email delivery and set max number of entries to keep • allow resending emails via the log page,Yes,Enable SMTP Settings; Enable Email Logging; Customize WP Emails,"CM documents SMTP authentication with backup-server options, email history/resending, and centralized WordPress email customization. ASE Pro’s Bcc/authentication/retention controls differ.",CM enough
Utilities,Form Builder,Pro,,Different approach,Form Desk; Frontend Post Submission,"CM manages submissions and supports frontend post submission, but does not document a general drag-and-drop form builder with ASE’s field types, autoresponders, and webhooks.",ASE still needed
Utilities,File Manager,Pro,,Different approach,Plugin Zip Downloads; Theme Zip Downloads; Download File to WordPress; Enable Secure Downloads,"CM has download/import and secure-download tools, not a general WordPress installation file manager with edit, copy, permissions, compress, and extract operations.",ASE still needed
Utilities,Local User Avatar,Pro,,Yes,Local User Avatar,"CM documents local custom profile pictures instead of Gravatars. The source image-selection UI differs from ASE’s wording, but the core local-avatar module is covered.",CM enough
Utilities,Multiple User Roles,Free,,Different approach,Role Manager,CM manages custom roles and capabilities. Assignment of multiple roles to one user is not stated.,ASE still needed
Utilities,Image Sizes Panel,Free+Pro,ASE Pro adds a convenient button to copy the image URL on click.,No,,"CM has image-size optimization controls, but no confirmed panel exposing every generated image-size URL with copy controls.",ASE still needed
Utilities,View Admin as Role,Free,,Yes,View Admin as Role,Exact CM feature name.,CM enough
Utilities,Password Protection,Free+Pro,ASE Pro adds: • IP whitelisting • Option to set preferred header to get IP address from • bypassing via URL parameter • auto-application of design from the Login Page Customizer module,Yes,Enable Site-Wide Password Protection; Enable Global Password Protection,CM documents site-wide password protection with optional IP bypass and separate password protection for public preview links. ASE’s URL-bypass and login-customizer integration are additional options.,CM enough
Utilities,Maintenance Mode,Free+Pro,ASE Pro adds: • customization of page title shown in the browser tab • WYSIWYG editor for heading and description • option to use an image or a solid color as the background • option to add custom CSS • option to use an existing page as the maintenance page,No,,CM’s Disable Maintenance Mode Message is not a maintenance-mode page builder. No confirmed equivalent.,ASE still needed
Utilities,Redirect Manager,Pro,,Partial,Enable Redirection & Logging; Global 404 Redirect,"CM has redirect logging, a 404 redirect, and a redirect-rule editor noted in the changelog. ASE’s regex/wildcard, status-code, groups, notes, caching, and loop-detection depth is not confirmed in the CM library.",ASE still needed
Utilities,Redirect 404,Free+Pro,ASE Pro adds: • an option to choose the redirect URL,Yes,Global 404 Redirect,Exact CM feature name and same core behavior. Confirm custom destination behavior for the target site.,CM enough
Utilities,Display System Summary,Free+Pro,"ASE Pro adds info on site, database and root, wp-content, plugins, themes and upload folders size.",No,,No confirmed CM equivalent for the ASE dashboard system summary widget.,ASE still needed
